8.30	31057.2	93.632	9.807	45107.6	3817.476
8.35	31254.1	93.576	9.801	45186.3	3819.709
8.40	31451.1	93.52	9.795	45265.4	3821.942
8.45	31648.2	93.464	9.79	45344.7	3824.272
8.50	31845.5	93.409	9.785	45424.4	3826.505
8.55	32042.8	93.354	9.781	45504.2	3828.738
8.60	32240.3	93.299	9.777	45584.3	3831.068
8.65	32437.9	93.244	9.773	45664.4	3833.301
8.70	32635.6	93.19	9.769	45744.6	3835.534
8.75	32833.5	93.137	9.766	45824.8	3837.864
8.80	33031.5	93.083	9.763	45904.9	3840.097
8.85	33229.6	93.031	9.761	45984.9	3842.33
8.90	33427.8	92.978	9.759	46064.8	3844.66
8.95	33625.9	92.928	9.757	46140.7	3846.796
9.00	33824.3	92.872	9.756	46229.2	3849.223
9.05	34022.9	92.738	9.755	46506.4	3856.019
9.10	34221.6	92.674	9.754	46604.7	3858.641
9.15	34420.5	92.611	9.754	46703.6	3861.359
9.20	34619.5	92.548	9.754	46803	3864.078
9.25	34818.7	92.485	9.754	46902.9	3866.699
9.30	35018	92.422	9.754	47003.3	3869.417
9.35	35217.5	92.36	9.755	47104.1	3872.136
9.40	35417.1	92.299	9.756	47205.3	3874.854
9.45	35616.9	92.237	9.757	47306.8	3877.67
9.50	35816.8	92.176	9.759	47408.5	3880.388
9.55	36016.8	92.116	9.761	47510.6	3883.107
9.60	36217.1	92.056	9.763	47612.9	3885.825
9.65	36417.4	91.996	9.765	47715.2	3888.641
9.70	36618	91.938	9.768	47817.4	3891.359
9.75	36818.6	91.88	9.771	47919.4	3894.078
9.80	37019.5	91.822	9.774	48021.2	3896.796
9.85	37220.5	91.766	9.777	48122.4	3899.515
9.90	37421.6	91.711	9.781	48223.1	3902.233
9.95	37622.9	91.656	9.784	48323	3904.854
10.00	37824.3	91.603	9.788	48422.2	3907.573
10.05	38026	91.556	9.793	48536.8	3910.485
10.10	38227.8	91.498	9.797	48638.6	3913.204
10.15	38429.8	91.441	9.801	48741.8	3915.922
10.20	38632	91.385	9.806	48846.3	3918.641
10.25	38834.3	91.328	9.811	48952.1	3921.456
10.30	39036.7	91.272	9.817	49059.2	3924.272
10.35	39239.4	91.216	9.822	49167.5	3927.087
10.40	39442.1	91.161	9.828	49277.2	3930
10.45	39645	91.106	9.834	49387.8	3932.913
10.50	39848	91.051	9.84	49499.6	3935.825
10.55	40051.2	90.997	9.847	49610.6	3938.738
10.60	40254.4	90.945	9.854	49721	3941.65
10.65	40457.7	90.893	9.861	49832.9	3944.563
10.70	40661.2	90.841	9.868	49946.3	3947.476
10.75	40864.8	90.789	9.875	50061	3950.485
10.80	41068.6	90.738	9.883	50177.2	3953.592
10.85	41272.5	90.687	9.891	50294.7	3956.602
10.90	41476.5	90.636	9.899	50413.5	3959.709
10.95	41680.6	90.586	9.907	50533.6	3962.816
11.00	41884.9	90.553	9.915	50655	3965.922
11.05	42089.3	90.512	9.924	50652.4	3966.699
11.10	42293.8	90.471	9.933	50756.2	3969.515
11.15	42498.4	90.43	9.942	50862.6	3972.33
11.20	42703.2	90.389	9.951	50971.4	3975.243
11.25	42908.1	90.348	9.96	51082.7	3978.252
11.30	43113.1	90.307	9.97	51196.6	3981.262
11.35	43318.3	90.265	9.98	51313.1	3984.369
11.40	43523.7	90.224	9.989	51432.1	3987.476
11.45	43729.2	90.182	9.999	51553.7	3990.583
11.50	43934.8	90.14	10.01	51677.9	3993.883
11.55	44140.7	90.098	10.02	51805.2	3997.087
11.60	44346.7	90.056	10.031	51935.5	4000.485
11.65	44552.8	90.013	10.041	52068.2	4003.883
11.70	44759.1	89.971	10.052	52203.5	4007.282
11.75	44965.4	89.929	10.063	52341.4	4010.777
11.80	45172.1	89.886	10.074	52481.8	4014.369
11.85	45378.8	89.844	10.086	52624.7	4017.961
11.90	45585.7	89.802	10.097	52770.2	4021.553
11.95	45792.7	89.759	10.109	52918.2	4025.243
12.00	45999.9	89.84	10.12	53068.9	4029.029
12.05	46207.2	89.805	10.132	52831	4025.049
12.10	46414.6	89.771	10.145	52987.7	4029.029
12.15	46622.2	89.739	10.157	53143.5	4032.913
12.20	46829.9	89.707	10.169	53298.4	4036.796
12.25	47037.8	89.677	10.182	53452.4	4040.68
12.30	47245.9	89.647	10.195	53605.6	4044.466
12.35	47454.1	89.619	10.208	53758	4048.252
12.40	47662.5	89.592	10.22	53909.5	4052.039
12.45	47871	89.592	10.233	54060.2	4055.825
12.50	48079.7	89.566	10.247	54210	4059.515
12.55	48286.9	89.546	10.26	54279.8	4061.65
12.60	48495.8	89.522	10.273	54425.4	4065.34
12.65	48704.9	89.5	10.287	54569.6	4068.932
12.70	48914.1	89.478	10.3	54713.2	4072.524
12.75	49123.5	89.458	10.314	54856.1	4076.019
12.80	49333.1	89.439	10.327	54998.1	4079.515
12.85	49542.8	89.421	10.341	55139.3	4083.107
12.90	49752.7	89.404	10.355	55279.7	4086.505
12.95	49962.7	89.388	10.369	55419.3	4090
13.00	50172.9	89.373	10.383	55558.1	4093.398
